home_name,link_name,type
Juniper Networks,AstraZeneca,customer
Motorola,Juniper Networks,partnership
Lululemon,eBay,investment
Lululemon,Nike,investment
Facebook,Pinterest,partnership
Zscaler,Cisco,investment
Schlumberger,Intel,partnership
Schlumberger,Microsoft,partnership
Schlumberger,IBM,partnership
Schlumberger,Microsoft,customer
Schlumberger,Corning,customer
Schlumberger,Baker & McKenzie,customer
Schlumberger,Oracle,investment
Schlumberger,NetApp,partnership
Schlumberger,Google,partnership
Schlumberger,Aon,partnership
Schlumberger,Microsoft,investment
Symantec,Microsoft,customer
Symantec,eBay,customer
Symantec,Facebook,customer
Symantec,Facebook,investment
Symantec,eBay,investment
Symantec,Facebook,partnership
Cisco,Microsoft,investment
Autodesk,Adobe,customer
Google,Microsoft,competitor
Equinix,Facebook,customer
Equinix,Adobe,competitor
Equinix,Facebook,partnership
Zoetis,Pfizer,customer
Illumina,Zoetis,customer
Illumina,Merck,competitor
Illumina,Pfizer,competitor
Illumina,Pfizer,investment
Illumina,Pfizer,partnership
Qualcomm,Motorola,competitor
Qualcomm,IBM,partnership
Juniper Networks,Google,partnership
Juniper Networks,Microsoft,partnership
Juniper Networks,Microsoft,competitor
Juniper Networks,Accenture,competitor
Microsoft,Google,partnership
Adobe,Intel,customer
Adobe,Rust,investment
Adobe,Google,investment
Adobe,IBM,investment
Vodafone,IBM,partnership
Equinix,Symantec,customer
Equinix,NetApp,customer
Equinix,NetApp,investment
Intel,Symantec,customer
Microsoft,Northrop Grumman,customer
Intel,IBM,competitor
Qualcomm,AMD,partnership
Qualcomm,Motorola,investment
Qualcomm,Walmart,investment
Qualcomm,Wynn Resorts,investment
Qualcomm,Schlumberger,investment
Qualcomm,eBay,investment
Cisco,eBay,customer
Google,Cisco,customer
Google,eBay,investment
Google,IBM,investment
Adobe,IBM,customer
eBay,Adobe,investment
Dell,Intel,customer
Google,Airbnb,partnership
Google,Airbnb,investment
Facebook,Google,competitor
Interpublic Group,Google,partnership
Interpublic Group,Microsoft,investment
Interpublic Group,eBay,investment
Interpublic Group,Google,investment
Microsoft,Dell,competitor
Facebook,Northrop Grumman,customer
IBM,Juniper Networks,customer
Google,IBM,customer
IBM,Google,partnership
Google,Best Buy,competitor
Google,Best Buy,partnership
Google,Best Buy,investment
Facebook,Nike,partnership
AMD,IBM,investment
AMD,Google,investment
Akamai,AMD,customer
Akamai,Facebook,customer
Adobe,Akamai,customer
Intel,AMD,customer
Intel,AMD,competitor
Telstra,Live Nation,customer
Dell,Telstra,customer
Dell,Facebook,partnership
Dell,Motorola,partnership
Dell,UPS,partnership
Dell,Vodafone,partnership
Dell,Best Buy,partnership
Atlassian,Google,competitor
Atlassian,Microsoft,partnership
Oracle,Google,investment
Schlumberger,ConocoPhillips,investment
Oracle,Facebook,customer
