employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,environmental_metric,social_metric,governance_metric,involvement_metric
47000,3.16,9,2040,9.84,0.72,1.6,17.5,4.51,8.54,2.34,0.04
284000,3.93,7,2050,100.0,-3.57,1.9,12.6,4.01,9.7,1.51,0.04
31900,4.8,6,2050,100.0,-3.57,1.3,14.1,4.51,9.04,2.34,0.04
84900,3.35,8,2040,100.0,-5.56,1.8,13.9,4.01,9.530000000000001,2.01,1.03
101000,2.79,6,2035,1.31,0.95,3.4,27.9,5.01,11.19,2.34,0.04
85000,4.3,7,2050,54.47,0.42,3.1,31.8,4.01,9.04,2.01,0.04
58000,1.91,7,2040,100.0,-5.56,2.0,12.3,4.51,9.2,2.01,0.04
1982,1.45,5,2040,100.0,-5.56,1.3,11.9,5.01,8.54,2.01,0.04
60000,-0.19,6,2025,3.87,-0.32,1.7,16.1,5.01,9.04,2.01,1.03
1150,4.19,6,2050,6.4,0.85,1.5,23.4,5.01,9.04,2.01,0.04
6907,5.93,5,2030,100.0,-12.5,1.3,24.3,5.01,10.2,2.34,0.04
31700,1.79,6,2030,10.72,0.08,2.2,21.3,5.01,10.2,2.01,1.03
33676,2.1,6,2040,100.0,-5.56,1.3,25.8,4.01,8.7,2.34,0.04
32315,2.14,7,2040,100.0,-5.56,1.7,16.3,5.01,9.2,2.01,1.03
116068,13.34,7,2030,100.0,-8.2,1.8,20.7,4.51,9.2,2.01,1.03
41000,4.04,8,2030,45.47,-1.13,2.0,28.6,3.52,8.7,2.01,0.04
20505,5.09,7,2030,100.0,-2.34,2.1,21.9,5.01,9.2,2.01,0.04
20700,1.88,5,2034,48.16,-0.68,3.5,23.9,5.34,11.02,1.01,0.04
21900,1.22,5,2030,6.99,0.11,1.8,15.0,4.51,10.690000000000001,2.67,0.04
89900,2.91,6,2045,100.0,-4.35,1.3,22.0,4.01,10.030000000000001,2.34,0.04
46000,4.9,8,2032,0.71,0.98,1.7,12.3,5.01,9.04,2.67,0.04
27037,0.64,6,2050,100.0,-3.57,3.3,28.1,5.01,9.86,2.01,0.04
1700,0.55,6,2040,100.0,-5.26,1.3,21.1,4.01,8.04,2.01,0.04
12600,8.19,6,2034,97.94,-1.59,1.7,20.4,5.01,9.04,2.01,0.04
53000,2.01,2,2032,29.93,-1.55,2.7,11.1,5.01,9.54,2.01,0.04
5473,5.15,7,2050,16.64,0.36,1.4,29.9,4.01,8.04,1.51,0.04
70000,1.6,8,2030,11.29,-0.31,2.0,22.2,5.01,10.2,2.34,0.04
14100,7.7,8,2030,16.13,-1.15,1.6,15.7,5.01,9.2,2.01,0.04
31,1.45,7,2050,1.65,1.07,1.8,14.3,4.51,8.54,2.01,0.04
7900,5.79,6,2050,1.75,1.07,1.9,24.9,5.01,9.54,2.01,0.04
9950,0.93,5,2050,100.0,-3.45,2.9,18.6,5.34,10.36,2.01,0.04
43000,9.56,7,2030,8.79,-0.15,1.5,24.3,3.51,8.530000000000001,2.01,0.04
48000,4.67,7,2050,100.0,-3.57,3.7,23.2,5.01,8.7,2.01,0.04
1360,-0.06,5,2050,100.0,-0.73,2.0,23.5,4.51,10.86,2.01,2.02
72000,4.24,6,2050,81.73,-2.71,2.0,22.1,4.51,7.54,2.01,0.04
88000,1.67,4,2040,100.0,-5.56,1.3,18.1,4.01,11.190000000000001,2.34,0.04
131900,4.71,8,2050,100.0,-3.14,1.3,22.1,3.51,10.690000000000001,2.67,0.04
16600,4.16,7,2040,1.77,1.01,2.0,16.7,4.51,9.04,2.01,0.04
36000,1.15,7,2050,100.0,-3.57,2.3,34.0,5.01,9.7,2.01,0.04
31700,1.79,6,2030,10.72,0.08,2.2,21.3,5.01,10.2,2.01,1.03
4778,-0.08,2,2030,31.98,0.08,2.5,19.0,5.01,9.54,2.01,0.04
2420,2.46,7,2040,100.0,-5.56,1.6,17.2,4.01,9.54,2.01,0.04
70000,0.8,4,2030,99.38,-0.15,2.0,11.1,4.01,8.54,1.51,0.04
31900,4.8,6,2050,100.0,-3.57,1.3,14.1,4.51,9.04,2.34,0.04
35300,0.42,5,2030,10.7,-0.41,1.9,19.9,5.01,9.04,2.01,1.03
225000,2.21,7,2030,42.25,-5.25,2.0,35.7,4.51,11.69,2.34,2.02
18500,3.21,6,2040,67.87,0.05,2.7,23.1,4.51,8.7,2.01,0.04
62000,0.83,6,2040,100.0,-5.56,1.5,13.3,3.51,9.2,1.51,0.04
594,4.1,2,2050,31.97,-0.32,3.4,21.7,5.01,9.04,2.34,0.04
26700,1.41,5,2027,4.95,-0.02,1.5,23.8,5.01,8.2,2.01,0.04
7900,7.54,5,2025,2.96,0.43,2.5,14.6,5.01,9.54,2.01,0.04
34100,1.17,4,2025,3.51,0.8,1.5,14.1,4.01,9.7,2.67,0.04
72000,5.4,7,2030,4.66,0.92,3.5,16.5,5.01,10.36,2.01,0.04
1360,-0.06,5,2050,100.0,-0.73,2.0,23.5,4.51,10.86,2.01,2.02
62931,2.03,5,2040,100.0,-5.56,1.9,15.0,5.01,9.04,2.01,0.04
28100,1.54,7,2030,100.0,-10.21,1.9,24.5,4.51,7.54,2.01,1.03
85000,3.33,5,2050,100.0,-3.45,1.7,21.6,4.51,8.54,2.01,0.04
37851,0.24,5,2030,100.0,-1.44,1.5,22.9,5.01,10.36,2.34,0.04
90000,4.59,6,2030,100.0,-11.72,1.7,26.8,5.01,8.04,1.51,0.04
20505,5.09,7,2030,100.0,-2.34,2.1,21.9,5.01,9.2,2.01,0.04
154000,2.68,5,2030,100.0,-6.68,2.2,10.8,4.51,8.04,2.01,0.04
104900,3.43,7,2050,0.71,1.12,1.4,10.6,3.51,8.04,2.34,0.04
98103,-0.48,6,2040,100.0,-5.43,1.7,14.5,5.01,8.54,2.01,0.04
11700,2.99,8,2030,3.89,0.85,2.8,21.5,4.01,7.04,2.01,0.04
85000,3.33,5,2050,100.0,-3.45,1.7,21.6,4.51,8.54,2.01,0.04
2100000,5.09,8,2040,12.01,0.29,2.2,24.9,5.01,12.02,2.67,2.02
38000,12.55,7,2050,100.0,-3.57,1.7,15.2,5.34,10.530000000000001,2.01,0.04
5289,1.41,4,2025,62.35,-13.75,1.3,20.9,5.01,10.2,2.01,0.04
73000,2.39,7,2030,9.59,0.5,2.9,24.0,5.01,9.04,1.51,0.04
352,17.16,6,2030,50.08,-0.73,3.2,27.7,5.67,12.18,2.01,0.04
