employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,Weapons,Gambling,Tobacco,Alcoholic,Environment,controversies_metric,sdg_metric
5289.0,1.33,4,2025,62.35,-13.75,1.3,20.9,0.0,0.0,0.0,0.0,0.0,10.0,1.0
4667.0,1.45,6,2050,9.35,0.72,2.8,27.7,0.0,0.0,0.0,0.0,0.0,11.0,5.0
20000.0,-0.15,5,2030,91.31,-3.67,2.8,13.6,0.0,0.0,0.0,0.0,0.0,10.0,4.0
11144.0,1.85,5,2030,36.58,-1.63,2.3,14.5,0.0,1.0,0.0,0.0,0.0,12.0,3.0
17250.0,0.87,5,2050,84.62,-2.85,2.4,23.2,0.0,0.0,0.0,0.0,0.0,11.0,3.0
47000.0,3.16,9,2040,9.84,0.72,1.6,17.5,0.0,0.0,0.0,0.0,0.0,11.0,4.0
10250.0,2.81,5,2050,100.0,-3.57,1.6,15.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0
72000.0,4.27,6,2050,81.73,-2.71,2.0,22.1,0.0,0.0,0.0,0.0,0.0,12.0,6.0
84900.0,3.35,8,2040,100.0,-5.56,1.8,13.9,0.0,1.0,0.0,0.0,0.0,9.0,5.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
84900.0,3.35,8,2040,100.0,-5.56,1.8,13.9,0.0,1.0,0.0,0.0,0.0,9.0,5.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
13948.0,4.54,6,2040,100.0,-5.56,1.4,14.1,0.0,0.0,0.0,0.0,0.0,12.0,4.0
18000.0,2.56,7,2030,100.0,-10.2,1.3,22.4,0.0,0.0,0.0,0.0,0.0,8.0,4.0
47000.0,3.16,9,2040,9.84,0.72,1.6,17.5,0.0,0.0,0.0,0.0,0.0,11.0,4.0
284000.0,3.93,7,2050,100.0,-3.57,1.9,12.6,0.0,0.0,0.0,0.0,0.0,10.0,5.0
31900.0,4.8,6,2050,100.0,-3.57,1.3,14.1,0.0,0.0,0.0,0.0,0.0,11.0,3.0
84900.0,3.35,8,2040,100.0,-5.56,1.8,13.9,0.0,1.0,0.0,0.0,0.0,9.0,5.0
101000.0,2.79,6,2035,1.31,0.95,3.4,27.9,0.0,0.0,0.0,0.0,0.0,6.0,1.0
85000.0,4.3,7,2050,54.47,0.42,3.1,31.8,0.0,0.0,0.0,0.0,0.0,12.0,4.0
58000.0,1.91,7,2040,100.0,-5.56,2.0,12.3,0.0,0.0,0.0,0.0,0.0,10.0,4.0
1982.0,1.45,5,2040,100.0,-5.56,1.3,11.9,0.0,0.0,0.0,0.0,0.0,12.0,3.0
60000.0,-0.19,6,2025,3.87,-0.32,1.7,16.1,0.0,1.0,0.0,0.0,0.0,12.0,2.0
1150.0,4.19,6,2050,6.4,0.85,1.5,23.4,0.0,0.0,0.0,0.0,0.0,12.0,2.0
6907.0,5.93,5,2030,100.0,-12.5,1.3,24.3,0.0,0.0,0.0,0.0,0.0,9.0,1.0
31700.0,1.79,6,2030,10.72,0.08,2.2,21.3,0.0,0.0,0.0,1.0,0.0,10.0,1.0
33676.0,2.1,6,2040,100.0,-5.56,1.3,25.8,0.0,0.0,0.0,0.0,0.0,9.0,6.0
32315.0,2.14,7,2040,100.0,-5.56,1.7,16.3,0.0,0.0,0.0,1.0,0.0,10.0,3.0
116068.0,13.34,7,2030,100.0,-8.2,1.8,20.7,0.0,0.0,0.0,1.0,0.0,10.0,4.0
41000.0,4.04,8,2030,45.47,-1.13,2.0,28.6,0.0,0.0,0.0,0.0,0.0,10.0,7.0
20505.0,5.09,7,2030,100.0,-2.34,2.1,21.9,0.0,0.0,0.0,0.0,0.0,10.0,3.0
20700.0,1.88,5,2034,48.16,-0.68,3.5,23.9,0.0,0.0,0.0,0.0,0.0,5.0,4.0
21900.0,1.22,5,2030,6.99,0.11,1.8,15.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
89900.0,2.91,6,2045,100.0,-4.35,1.3,22.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0
46000.0,4.9,8,2032,0.71,0.98,1.7,12.3,0.0,0.0,0.0,0.0,0.0,10.0,2.0
27037.0,0.64,6,2050,100.0,-3.57,3.3,28.1,0.0,0.0,0.0,0.0,0.0,8.0,3.0
1700.0,0.55,6,2040,100.0,-5.26,1.3,21.1,0.0,0.0,0.0,0.0,0.0,12.0,6.0
12600.0,8.19,6,2034,97.94,-1.59,1.7,20.4,0.0,0.0,0.0,0.0,0.0,12.0,2.0
53000.0,2.01,2,2032,29.93,-1.55,2.7,11.1,0.0,0.0,0.0,0.0,0.0,12.0,1.0
5473.0,5.15,7,2050,16.64,0.36,1.4,29.9,0.0,0.0,0.0,0.0,0.0,12.0,7.0
70000.0,1.6,8,2030,11.29,-0.31,2.0,22.2,0.0,0.0,0.0,0.0,0.0,9.0,1.0
14100.0,7.7,8,2030,16.13,-1.15,1.6,15.7,0.0,0.0,0.0,0.0,0.0,10.0,3.0
31.0,1.45,7,2050,1.65,1.07,1.8,14.3,0.0,0.0,0.0,0.0,0.0,12.0,4.0
7900.0,5.79,6,2050,1.75,1.07,1.9,24.9,0.0,0.0,0.0,0.0,0.0,12.0,1.0
9950.0,0.93,5,2050,100.0,-3.45,2.9,18.6,0.0,0.0,0.0,0.0,0.0,7.0,2.0
43000.0,9.56,7,2030,8.79,-0.15,1.5,24.3,0.0,0.0,0.0,0.0,0.0,9.0,8.0
48000.0,4.67,7,2050,100.0,-3.57,3.7,23.2,0.0,0.0,0.0,0.0,0.0,10.0,4.0
1360.0,-0.06,5,2050,100.0,-0.73,2.0,23.5,0.0,0.0,1.0,1.0,0.0,8.0,2.0
72000.0,4.24,6,2050,81.73,-2.71,2.0,22.1,0.0,0.0,0.0,0.0,0.0,12.0,6.0
88000.0,1.67,4,2040,100.0,-5.56,1.3,18.1,0.0,0.0,0.0,0.0,0.0,6.0,3.0
131900.0,4.71,8,2050,100.0,-3.14,1.3,22.1,0.0,0.0,0.0,0.0,0.0,5.0,5.0
16600.0,4.16,7,2040,1.77,1.01,2.0,16.7,0.0,0.0,0.0,0.0,0.0,12.0,3.0
36000.0,1.15,7,2050,100.0,-3.57,2.3,34.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
31700.0,1.79,6,2030,10.72,0.08,2.2,21.3,0.0,0.0,0.0,1.0,0.0,10.0,1.0
4778.0,-0.08,2,2030,31.98,0.08,2.5,19.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
2420.0,2.46,7,2040,100.0,-5.56,1.6,17.2,0.0,0.0,0.0,0.0,0.0,12.0,3.0
70000.0,0.8,4,2030,99.38,-0.15,2.0,11.1,0.0,0.0,0.0,0.0,0.0,12.0,6.0
31900.0,4.8,6,2050,100.0,-3.57,1.3,14.1,0.0,0.0,0.0,0.0,0.0,11.0,3.0
35300.0,0.42,5,2030,10.7,-0.41,1.9,19.9,0.0,0.0,0.0,1.0,0.0,12.0,2.0
225000.0,2.21,7,2030,42.25,-5.25,2.0,35.7,0.0,0.0,1.0,1.0,0.0,6.0,1.0
18500.0,3.21,6,2040,67.87,0.05,2.7,23.1,0.0,0.0,0.0,0.0,0.0,10.0,5.0
62000.0,0.83,6,2040,100.0,-5.56,1.5,13.3,0.0,0.0,0.0,0.0,0.0,10.0,7.0
594.0,4.1,2,2050,31.97,-0.32,3.4,21.7,0.0,0.0,0.0,0.0,0.0,11.0,2.0
26700.0,1.41,5,2027,4.95,-0.02,1.5,23.8,0.0,0.0,0.0,0.0,0.0,10.0,5.0
7900.0,7.54,5,2025,2.96,0.43,2.5,14.6,0.0,0.0,0.0,0.0,0.0,12.0,1.0
34100.0,1.17,4,2025,3.51,0.8,1.5,14.1,0.0,0.0,0.0,0.0,0.0,8.0,4.0
72000.0,5.4,7,2030,4.66,0.92,3.5,16.5,0.0,0.0,0.0,0.0,0.0,8.0,2.0
1360.0,-0.06,5,2050,100.0,-0.73,2.0,23.5,0.0,0.0,1.0,1.0,0.0,8.0,2.0
62931.0,2.03,5,2040,100.0,-5.56,1.9,15.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0
28100.0,1.54,7,2030,100.0,-10.21,1.9,24.5,0.0,0.0,0.0,1.0,0.0,12.0,6.0
85000.0,3.33,5,2050,100.0,-3.45,1.7,21.6,0.0,0.0,0.0,0.0,0.0,12.0,4.0
37851.0,0.24,5,2030,100.0,-1.44,1.5,22.9,0.0,0.0,0.0,0.0,0.0,7.0,2.0
90000.0,4.59,6,2030,100.0,-11.72,1.7,26.8,0.0,0.0,0.0,0.0,0.0,12.0,5.0
20505.0,5.09,7,2030,100.0,-2.34,2.1,21.9,0.0,0.0,0.0,0.0,0.0,10.0,3.0
154000.0,2.68,5,2030,100.0,-6.68,2.2,10.8,0.0,0.0,0.0,0.0,0.0,12.0,5.0
104900.0,3.43,7,2050,0.71,1.12,1.4,10.6,0.0,0.0,0.0,0.0,0.0,11.0,7.0
98103.0,-0.48,6,2040,100.0,-5.43,1.7,14.5,0.0,0.0,0.0,0.0,0.0,12.0,3.0
11700.0,2.99,8,2030,3.89,0.85,2.8,21.5,0.0,0.0,0.0,0.0,0.0,12.0,8.0
85000.0,3.33,5,2050,100.0,-3.45,1.7,21.6,0.0,0.0,0.0,0.0,0.0,12.0,4.0
2100000.0,5.09,8,2040,12.01,0.29,2.2,24.9,0.0,0.0,1.0,1.0,0.0,4.0,0.0
38000.0,12.55,7,2050,100.0,-3.57,1.7,15.2,0.0,0.0,0.0,0.0,0.0,8.0,1.0
